Condition ID Values,Definitions for Your Category,Category ID,Category Path
"nicht zutreffend",,147964,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Eisenbahn"
"nicht zutreffend",,147965,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Elastolin & Lineol"
"nicht zutreffend",,147966,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Militär"
"nicht zutreffend",,147967,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Ritter & Römer"
"nicht zutreffend",,147968,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Tiere & Natur"
"nicht zutreffend",,147969,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Wildwest"
"nicht zutreffend",,147970,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Zivilfiguren"
"nicht zutreffend",,31070,"Antiquitäten & Kunst > Antikspielzeug > Masse- & Kunststofffiguren > Gefertigt nach 1945 > Sonstige"
"nicht zutreffend",,58799,"Antiquitäten & Kunst > Antikspielzeug > Murmeln"
"nicht zutreffend",,78311,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt vor 1945 > Dampfmaschinen"
"nicht zutreffend",,78312,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt vor 1945 > Zubehör"
"nicht zutreffend",,25722,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt vor 1945 > Sonstige"
"nicht zutreffend",,147934,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt nach 1945 > Dampfmaschinen"
"nicht zutreffend",,147935,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt nach 1945 > Zubehör"
"nicht zutreffend",,147933,"Antiquitäten & Kunst > Antikspielzeug > Dampfspielzeug > Gefertigt nach 1945 > Sonstige"
